item,wpl_uom,wpl
1052,LBS_PER_FT,8.77
1054,LBS_PER_FT,8.77
1056,LBS_PER_FT,9.39
1057,LBS_PER_FT,9.39
1058,LBS_PER_FT,9.39
1059,LBS_PER_FT,9.39
1060,LBS_PER_FT,9.39
1061,LBS_PER_FT,9.39
1062,LBS_PER_FT,2.67
1063,LBS_PER_FT,9.39
1064,LBS_PER_FT,468.805
1065,LBS_PER_FT,9.39
1066,LBS_PER_FT,9.39
1067,LBS_PER_FT,10.02
1069,LBS_PER_FT,10.02
1070,LBS_PER_FT,10.02
1071,LBS_PER_FT,10.02
1073,LBS_PER_FT,10.02
1075,LBS_PER_FT,10.68
1076,LBS_PER_FT,10.68
1077,LBS_PER_FT,10.68
1078,LBS_PER_FT,10.68
1080,LBS_PER_FT,10.68
1081,LBS_PER_FT,10.68
1082,LBS_PER_FT,10.68
1083,LBS_PER_FT,10.68
1085,LBS_PER_FT,10.68
1086,LBS_PER_FT,10.68
1088,LBS_PER_FT,10.68
1090,LBS_PER_FT,11.36
1091,LBS_PER_FT,11.36
1092,LBS_PER_FT,11.36
1094,LBS_PER_FT,12.06
1095,LBS_PER_FT,12.06
1096,LBS_PER_FT,12.06
1097,LBS_PER_FT,12.06
1098,LBS_PER_FT,12.06
1099,LBS_PER_FT,12.06
1100,LBS_PER_FT,12.06
1101,LBS_PER_FT,31.1
1102,LBS_PER_FT,12.06
1103,LBS_PER_FT,12.06
1104,LBS_PER_FT,12.78
1105,LBS_PER_FT,12.78
1106,LBS_PER_FT,12.78
1107,LBS_PER_FT,12.78
1109,LBS_PER_FT,12.78
1110,LBS_PER_FT,12.78
1111,LBS_PER_FT,13.52
1112,LBS_PER_FT,13.52
1113,LBS_PER_FT,13.52
1114,LBS_PER_FT,13.52
1115,LBS_PER_FT,13.52
1116,LBS_PER_FT,13.52
1117,LBS_PER_FT,13.52
1119,LBS_PER_FT,13.52
1121,LBS_PER_FT,13.52
1124,LBS_PER_FT,14.28
1125,LBS_PER_SFT,1.801
1126,LBS_PER_FT,15.06
1127,LBS_PER_FT,15.06
1128,LBS_PER_FT,15.06
1129,LBS_PER_FT,15.06
1131,LBS_PER_FT,15.06
1132,LBS_PER_FT,15.06
1134,LBS_PER_FT,15.06
1136,LBS_PER_FT,15.06
1138,LBS_PER_FT,15.87
1139,LBS_PER_FT,15.87
1142,LBS_PER_FT,15.87
1144,LBS_PER_FT,16.69
1145,LBS_PER_FT,16.69
1146,LBS_PER_FT,16.69
1147,LBS_PER_FT,16.69
1148,LBS_PER_FT,16.69
1149,LBS_PER_FT,16.69
1150,LBS_PER_FT,16.69
1151,LBS_PER_FT,16.69
1153,LBS_PER_FT,16.69
1155,LBS_PER_FT,16.69
1156,LBS_PER_FT,17.53
1157,LBS_PER_FT,18.4
1158,LBS_PER_FT,18.4
1159,LBS_PER_FT,18.4
1161,LBS_PER_FT,18.4
1162,LBS_PER_FT,18.4
1163,LBS_PER_FT,18.4
1164,LBS_PER_FT,18.4
1167,LBS_PER_FT,20.19
1168,LBS_PER_FT,20.19
1169,LBS_PER_FT,20.19
1170,LBS_PER_FT,20.19
1172,LBS_PER_FT,20.19
1173,LBS_PER_FT,20.19
1174,LBS_PER_FT,20.19
1175,LBS_PER_FT,20.19
1178,LBS_PER_FT,22.07
1179,LBS_PER_FT,22.07
1180,LBS_PER_FT,22.07
1181,LBS_PER_FT,22.07
1182,LBS_PER_FT,22.07
1183,LBS_PER_FT,22.07
1185,LBS_PER_FT,23.04
1186,LBS_PER_FT,23.04
1188,LBS_PER_FT,23.04
1190,LBS_PER_FT,24.03
1191,LBS_PER_FT,24.03
1192,LBS_PER_FT,24.03
1193,LBS_PER_FT,24.03
1194,LBS_PER_FT,24.03
1195,LBS_PER_FT,24.03
1196,LBS_PER_FT,24.03
1197,LBS_PER_FT,24.03
1199,LBS_PER_FT,24.03
1200,LBS_PER_FT,24.03
1201,LBS_PER_FT,24.03
1203,LBS_PER_FT,26.08
1205,LBS_PER_FT,26.08
1207,LBS_PER_FT,26.08
1208,LBS_PER_FT,26.08
1209,LBS_PER_FT,26.08
1211,LBS_PER_FT,28.21
1212,LBS_PER_FT,28.21
1213,LBS_PER_FT,28.21
1214,LBS_PER_FT,28.21
1216,LBS_PER_FT,28.232
1217,LBS_PER_FT,28.21
1218,LBS_PER_FT,28.21
1220,LBS_PER_FT,30.42
1221,LBS_PER_FT,30.42
1222,LBS_PER_FT,30.42
1224,LBS_PER_FT,30.42
1225,LBS_PER_FT,30.42
1226,LBS_PER_FT,31.55
1228,LBS_PER_FT,31.55
1230,LBS_PER_FT,32.71
1231,LBS_PER_FT,32.71
1232,LBS_PER_FT,32.71
1233,LBS_PER_FT,32.71
1234,LBS_PER_FT,32.71
1235,LBS_PER_FT,32.71
1237,LBS_PER_FT,32.71
1238,LBS_PER_SFT,112.3056
1239,LBS_PER_FT,35.09
1240,LBS_PER_FT,35.09
1241,LBS_PER_FT,35.09
1242,LBS_PER_FT,35.09
1243,LBS_PER_FT,35.09
1244,LBS_PER_FT,37.55
1245,LBS_PER_FT,37.55
1246,LBS_PER_FT,37.55
1247,LBS_PER_FT,37.55
1248,LBS_PER_FT,37.55
1249,LBS_PER_FT,37.55
1250,LBS_PER_FT,37.55
1251,LBS_PER_FT,37.55
1252,LBS_PER_FT,40.1
1253,LBS_PER_FT,40.1
1254,LBS_PER_FT,40.1
1255,LBS_PER_FT,40.1
1256,LBS_PER_FT,41.4
1258,LBS_PER_FT,41.4
1259,LBS_PER_FT,42.73
1260,LBS_PER_FT,42.73
1261,LBS_PER_FT,42.73
1262,LBS_PER_FT,42.73
1263,LBS_PER_SFT,102.096
1264,LBS_PER_FT,42.73
1265,LBS_PER_FT,42.73
1266,LBS_PER_SFT,91.8862
1267,LBS_PER_FT,42.73
1270,LBS_PER_FT,45.44
1271,LBS_PER_FT,45.44
1272,LBS_PER_FT,48.23
1273,LBS_PER_FT,48.23
1274,LBS_PER_FT,48.23
1275,LBS_PER_FT,48.23
1276,LBS_PER_FT,48.23
1277,LBS_PER_FT,48.23
1278,LBS_PER_FT,48.23
1279,LBS_PER_FT,51.11
1280,LBS_PER_FT,51.11
1281,LBS_PER_FT,51.11
1282,LBS_PER_FT,52.58
1284,LBS_PER_FT,52.58
1285,LBS_PER_FT,54.08
1287,LBS_PER_FT,54.08
1288,LBS_PER_FT,54.08
1289,LBS_PER_FT,54.08
1290,LBS_PER_FT,54.08
1293,LBS_PER_FT,60.25
1295,LBS_PER_FT,60.25
1296,LBS_PER_FT,60.25
1297,LBS_PER_FT,60.25
1298,LBS_PER_FT,65.1
1299,LBS_PER_FT,65.1
1300,LBS_PER_FT,66.76
1301,LBS_PER_FT,66.76
1302,LBS_PER_FT,66.76
1303,LBS_PER_FT,66.76
1304,LBS_PER_FT,81.6
1305,LBS_PER_FT,66.76
1308,LBS_PER_FT,73.6
1309,LBS_PER_FT,73.6
1310,LBS_PER_FT,73.6
1311,LBS_PER_FT,73.6
1314,LBS_PER_FT,80.78
1315,LBS_PER_FT,80.78
1316,LBS_PER_FT,80.78
1319,LBS_PER_FT,88.29
1320,LBS_PER_FT,88.29
1321,LBS_PER_FT,88.29
1322,LBS_PER_FT,88.29
1323,LBS_PER_FT,96.13
1324,LBS_PER_FT,96.13
1325,LBS_PER_FT,96.13
1326,LBS_PER_FT,96.13
1329,LBS_PER_FT,104.31
1330,LBS_PER_FT,112.82
1332,LBS_PER_FT,121.67
1333,LBS_PER_FT,130.85
1335,LBS_PER_FT,150.21
1336,LBS_PER_FT,170.9
1338,LBS_PER_FT,192.9
1340,LBS_PER_FT,267
1342,LBS_PER_FT,0.053
1344,LBS_PER_FT,0.12
1347,LBS_PER_FT,0.213
1349,LBS_PER_FT,0.213
1350,LBS_PER_FT,0.332
1352,LBS_PER_FT,0.332
1353,LBS_PER_FT,0.478
1354,LBS_PER_FT,0.478
1355,LBS_PER_FT,0.478
1356,LBS_PER_FT,0.651
1358,LBS_PER_FT,0.85
1359,LBS_PER_FT,0.85
1360,LBS_PER_FT,0.85
1361,LBS_PER_FT,0.85
1362,LBS_PER_FT,1.08
1363,LBS_PER_FT,1.08
1364,LBS_PER_FT,1.33
1365,LBS_PER_FT,1.33
1366,LBS_PER_FT,1.33
1367,LBS_PER_FT,1.33
1368,LBS_PER_FT,1.61
1369,LBS_PER_FT,1.91
1370,LBS_PER_FT,1.91
1371,LBS_PER_FT,1.91
1372,LBS_PER_FT,1.91
1373,LBS_PER_FT,16.69
1375,LBS_PER_FT,2.6
1376,LBS_PER_FT,2.6
1377,LBS_PER_FT,2.6
1379,LBS_PER_FT,3.4
1380,LBS_PER_FT,3.4
1381,LBS_PER_FT,3.4
1382,LBS_PER_FT,3.4
1384,LBS_PER_FT,4.3
1385,LBS_PER_FT,4.3
1389,LBS_PER_FT,5.31
1390,LBS_PER_FT,5.31
1391,LBS_PER_FT,5.31
1392,LBS_PER_FT,5.31
1393,LBS_PER_SFT,3.796
1394,LBS_PER_FT,6.43
1395,LBS_PER_FT,18.4
1396,LBS_PER_FT,6.43
1397,LBS_PER_FT,7.65
1398,LBS_PER_FT,7.65
